General Information
Project Address,City,ZipCode,ClimateZone,Compliance Software,Compliance Manager,RulesetFile Name,Compliance Type
" 5900 W Green Lake Way N.","Seattle",98103,"- select -","CBECC 2025.2.1 (1408)","BEMCmpMgr 2025.2.0 (795)","ASHRAE 90.1-2019 Appendix G, Vers. 1.0 (S901G_2019.bin)","NewComplete"

No. of Thermal Zones,No. of Thermal Zones (cond),No. of Air Systems,No. of Zonal Systems,No. of Terminal Units
11,10,8,3,0

No. of Stories
Total,New,Existing,Altered
2,2,0,0

No. of Above Grade Stories
Total,New,Existing,Altered
2,2,0,0

No. of Dwelling Units (Conditioned)
Total,New,Existing,Altered
0,0,0,0

NonRes Floor Area (Conditioned)
Total,New,Existing,Altered
2,2,0,0

Res Floor Area (Conditioned)
Total,New,Existing,Altered
0,0,0,0

,Conditioned Floor Area
Total Floor Area,Total,New,Existing,Altered
11385.2,6632.21,0,0,0



Building Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
5227.44,1590.16,907.49,1227.72,1502.07

Building New Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
5227.44,1590.16,907.49,1227.72,1502.07
Building Existing or Altered Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Building Window Area,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
1278.28,650.05,125.34,58.22,444.67

Building New Window Area on New Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
1278.28,650.05,125.34,58.22,444.67
Building New Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00
Building Existing or Altered Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Window to Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.2445,0.4088,0.1381,0.0474,0.2960

New Window to New Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.2445,0.4088,0.1381,0.0474,0.2960
New Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000
Existing or Altered Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000


Skylight to Roof Ratio (SRR),Display Perimeter\SRR,West,Total
(frac.),(ft),(ft)
0.0000,0.00,0.00

New Skylight to New Roof Ratio (SRR)
(frac.)
0.0000
New Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000
Existing or Altered Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000



Exterior Roofs
,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"Surface 62","New","L02-214_AstoComlPthp","Nonresidential","DirectlyConditioned","NonResidential",343.53,2.32014,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 70","New","L02-211_RestComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",740.61,2.31998,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 260","New","L02-209_AstoComlPthp","Nonresidential","DirectlyConditioned","NonResidential",346.97,2.31999,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 87","New","L02-207_UtilComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",98.77,2.31999,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 93","New","L02-207C_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",54.53,2.32007,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 253","New","L02-207B_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",53.06,2.32018,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 105","New","L02-207A_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",52.61,2.31972,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 144","New","L02-216_MprpComlPthp","Nonresidential","DirectlyConditioned","NonResidential",257.21,2.32033,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 120","New","L02-217_AstoComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",43.43,2.32019,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 247","New","L02-206_MprpComlPthp","Nonresidential","DirectlyConditioned","NonResidential",237.37,2.32,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 129","New","L02-201_CorrComlPthp","Nonresidential","DirectlyConditioned","NonResidential",946.58,2.32008,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 238","New","L02-218_MechComlPthp","Nonresidential","DirectlyConditioned","NonResidential",45.94,2.32047,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 171","New","L02-215_LndyComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",111.32,2.32003,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 262","New","L02-208_RestComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",101.46,2.32001,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 57","New","L02-001_ElevComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",60.56,2.31953,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 192","New","L02-201B_UtilComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",17.32,2.31979,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 204","New","L02-202_OfceComlPthp","Nonresidential","DirectlyConditioned","NonResidential",187.77,2.29308,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 235","New","L02-203_BrkrComlPthp","Nonresidential","DirectlyConditioned","NonResidential",223.45,2.32011,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 217","New","L02-204_FitnComlPthp","Nonresidential","DirectlyConditioned","NonResidential",1418.47,2.32011,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 232","New","L02-205_AstoComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",178.28,2.32011,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7
"Surface 113","New","L02-201A_StrsComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",178.00,2.29308,"Low","RoofInsulationEntirelyAboveDeckU063","WoodFramingAndOtherRoof",-99996.000,-99996,-99996,0.9,0.9,-99996,-99996,0.7,0.7



Exterior Wall
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Building Type,Area,Azimuth,Cons Name,Construction Type,U Factor,Window Area
,,,,,,(ft2),(deg),,,(Btu/h-?F-ft2),(ft2)
"Surface 327","New","L01-105_IstoComlUncd","Nonresidential","Unconditioned","NonResidential",128.22,302,"WallSteelFramedUnconditioned","MetalFrameWall",-99996.000,21.72
"Surface 4","New","L01-105_IstoComlUncd","Nonresidential","Unconditioned","NonResidential",131.88,302,"WallSteelFramedUnconditioned","MetalFrameWall",-99996.000,0.00
"Surface 5","New","L01-105_IstoComlUncd","Nonresidential","Unconditioned","NonResidential",1027.04,32,"WallSteelFramedUnconditioned","MetalFrameWall",-99996.000,352.40
"Surface 6","New","L01-105_IstoComlUncd","Nonresidential","Unconditioned","NonResidential",749.13,122,"WallSteelFramedUnconditioned","MetalFrameWall",-99996.000,21.72
"Surface 7","New","L01-105_IstoComlUncd","Nonresidential","Unconditioned","NonResidential",587.69,212,"WallSteelFramedUnconditioned","MetalFrameWall",-99996.000,228.54
"Surface 16","New","L01-102_OfceComlPthp","Nonresidential","DirectlyConditioned","NonResidential",206.05,302,"WallSteelFramedU124","MetalFrameWall",-99996.000,21.72
"Surface 333","New","L01-102_OfceComlPthp","Nonresidential","DirectlyConditioned","NonResidential",102.84,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,58.22
"Surface 21","New","L01-103_AstoComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",73.69,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 37","New","L01-101_LbbyComlPthp","Nonresidential","DirectlyConditioned","NonResidential",122.04,302,"WallSteelFramedU124","MetalFrameWall",-99996.000,81.58
"Surface 41","New","L01-101A_StrsComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",150.13,32,"WallSteelFramedU124","MetalFrameWall",-99996.000,57.36
"Surface 46","New","L01-101A_StrsComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",266.56,302,"WallSteelFramedU124","MetalFrameWall",-99996.000,98.58
"Surface 51","New","L01-100_VestComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",158.36,32,"WallSteelFramedU124","MetalFrameWall",-99996.000,95.40
"Surface 55","New","L02-214_AstoComlPthp","Nonresidential","DirectlyConditioned","NonResidential",183.45,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 56","New","L02-214_AstoComlPthp","Nonresidential","DirectlyConditioned","NonResidential",178.80,302,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 69","New","L02-211_RestComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",264.62,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 73","New","L02-209_AstoComlPthp","Nonresidential","DirectlyConditioned","NonResidential",184.09,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 86","New","L02-207_UtilComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",63.56,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 91","New","L02-207C_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",72.70,122,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 92","New","L02-207C_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",103.09,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 252","New","L02-207B_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",72.23,122,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 103","New","L02-207A_MechComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",73.06,122,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 133","New","L02-216_MprpComlPthp","Nonresidential","DirectlyConditioned","NonResidential",166.32,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 142","New","L02-216_MprpComlPthp","Nonresidential","DirectlyConditioned","NonResidential",250.67,302,"WallSteelFramedU124","MetalFrameWall",-99996.000,54.39
"Surface 117","New","L02-217_AstoComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",86.07,212,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 246","New","L02-206_MprpComlPthp","Nonresidential","DirectlyConditioned","NonResidential",211.49,122,"WallSteelFramedU124","MetalFrameWall",-99996.000,56.33
"Surface 130","New","L02-201_CorrComlPthp","Nonresidential","DirectlyConditioned","NonResidential",107.71,302,"WallSteelFramedU124","MetalFrameWall",-99996.000,55.79
"Surface 135","New","L02-201_CorrComlPthp","Nonresidential","DirectlyConditioned","NonResidential",107.71,122,"WallSteelFramedU124","MetalFrameWall",-99996.000,69.01
"Surface 202","New","L02-202_OfceComlPthp","Nonresidential","DirectlyConditioned","NonResidential",149.02,32,"WallSteelFramedU124","MetalFrameWall",-99996.000,82.84
"Surface 209","New","L02-203_BrkrComlPthp","Nonresidential","DirectlyConditioned","NonResidential",121.70,32,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 211","New","L02-203_BrkrComlPthp","Nonresidential","DirectlyConditioned","NonResidential",125.73,302,"WallSteelFramedU124","MetalFrameWall",-99996.000,40.48
"Surface 215","New","L02-204_FitnComlPthp","Nonresidential","DirectlyConditioned","NonResidential",772.57,32,"WallSteelFramedU124","MetalFrameWall",-99996.000,358.81
"Surface 221","New","L02-205_AstoComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",97.10,32,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 234","New","L02-205_AstoComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",370.31,122,"WallSteelFramedU124","MetalFrameWall",-99996.000,0.00
"Surface 149","New","L02-201A_StrsComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",244.50,302,"WallSteelFramedU124","MetalFrameWall",-99996.000,92.11
"Surface 84","New","L02-201A_StrsComlIncd","Nonresidential","IndirectlyConditioned","NonResidential",141.27,32,"WallSteelFramedU124","MetalFrameWall",-99996.000,55.64



Underground Floor
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Slab Type,Area,Exposed Perimeter,Cons Name,Slab Insulation Orientation,Overall 'F' Factor
,,,,,(Heated/Unheated),(ft2),(ft),,,(Btu/h-?F-ft2)
"Surface 1","New","L01-105_IstoComlUncd","Nonresidential","Unconditioned","UNDEFINED",4752.97,230.09,"SlabOnOrBelowGradeF073","None",0.730
"Surface 18","New","L01-102_OfceComlPthp","Nonresidential","DirectlyConditioned","UNDEFINED",236.99,31.76,"SlabOnOrBelowGradeF073","None",0.730
"Surface 19","New","L01-103_AstoComlIncd","Nonresidential","IndirectlyConditioned","UNDEFINED",109.31,8.59,"SlabOnOrBelowGradeF073","None",0.730
"Surface 25","New","L01-001_ElevComlIncd","Nonresidential","IndirectlyConditioned","UNDEFINED",60.51,0.00,"SlabOnOrBelowGradeF073","None",0.730
"Surface 36","New","L01-101_LbbyComlPthp","Nonresidential","DirectlyConditioned","UNDEFINED",250.36,8.14,"SlabOnOrBelowGradeF073","None",0.730
"Surface 45","New","L01-101A_StrsComlIncd","Nonresidential","IndirectlyConditioned","UNDEFINED",177.86,27.78,"SlabOnOrBelowGradeF073","None",0.730
"Surface 47","New","L01-100_VestComlIncd","Nonresidential","IndirectlyConditioned","UNDEFINED",104.59,10.56,"SlabOnOrBelowGradeF073","None",0.730



Window
,,,,Exterior Wall,Window
Name,Status,Occupancy Classification,Conditioning Status,Name,Area,Azimuth,Product Type,Cert Method,Cons Name,Frame Type,Glazing Type,U Factor,SHGC,Visual Transmittance, U Factor Simulated,Inside Convection Coefficient
,,,,,(ft2),(Deg),,,,,,(Btu/h-?F-ft2),,,(Btu/h-?F-ft2),(Btu/h-?F-ft2)
"Sub Surface 3","New","Nonresidential","Unconditioned","Surface 327",21.72,302,"CurtainWall","NFRCRated","Window 04 Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 36","New","Nonresidential","Unconditioned","Surface 5",102.75,32,"GlazedDoor","NFRCRated","Panel Door Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 37","New","Nonresidential","Unconditioned","Surface 5",22.08,32,"GlazedDoor","NFRCRated","SF Door Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 38","New","Nonresidential","Unconditioned","Surface 5",22.08,32,"GlazedDoor","NFRCRated","SF Door Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 39","New","Nonresidential","Unconditioned","Surface 5",102.75,32,"GlazedDoor","NFRCRated","Panel Door Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 40","New","Nonresidential","Unconditioned","Surface 5",102.75,32,"GlazedDoor","NFRCRated","Panel Door Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 2","New","Nonresidential","Unconditioned","Surface 6",21.72,122,"CurtainWall","NFRCRated","Window 04 Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 1","New","Nonresidential","Unconditioned","Surface 7",58.22,212,"CurtainWall","NFRCRated","Window 04 Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 4","New","Nonresidential","Unconditioned","Surface 7",112.10,212,"CurtainWall","NFRCRated","Window 04 Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 5","New","Nonresidential","Unconditioned","Surface 7",58.22,212,"CurtainWall","NFRCRated","Window 04 Uncd","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 54","New","Nonresidential","DirectlyConditioned","Surface 16",21.72,302,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 53","New","Nonresidential","DirectlyConditioned","Surface 333",58.22,212,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 49","New","Nonresidential","DirectlyConditioned","Surface 37",48.46,302,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 50","New","Nonresidential","DirectlyConditioned","Surface 37",33.12,302,"CurtainWall","NFRCRated","Window 05_Clerestory","- specify -","- specify -",0.370,0.230,0.001,0.37000,-99996.00000
"Sub Surface 30","New","Nonresidential","IndirectlyConditioned","Surface 41",8.97,32,"CurtainWall","NFRCRated","Window 05_Clerestory","- specify -","- specify -",0.370,0.230,0.001,0.37000,-99996.00000
"Sub Surface 31","New","Nonresidential","IndirectlyConditioned","Surface 41",14.32,32,"CurtainWall","NFRCRated","Window 05_Clerestory","- specify -","- specify -",0.370,0.230,0.001,0.37000,-99996.00000
"Sub Surface 34","New","Nonresidential","IndirectlyConditioned","Surface 41",20.95,32,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 35","New","Nonresidential","IndirectlyConditioned","Surface 41",13.12,32,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 12","New","Nonresidential","IndirectlyConditioned","Surface 46",25.24,302,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 13","New","Nonresidential","IndirectlyConditioned","Surface 46",13.12,302,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 46","New","Nonresidential","IndirectlyConditioned","Surface 46",13.80,302,"CurtainWall","NFRCRated","Window 05_Clerestory","- specify -","- specify -",0.370,0.230,0.001,0.37000,-99996.00000
"Sub Surface 47","New","Nonresidential","IndirectlyConditioned","Surface 46",8.97,302,"CurtainWall","NFRCRated","Window 05_Clerestory","- specify -","- specify -",0.370,0.230,0.001,0.37000,-99996.00000
"Sub Surface 48","New","Nonresidential","IndirectlyConditioned","Surface 46",17.25,302,"CurtainWall","NFRCRated","Window 05_Clerestory","- specify -","- specify -",0.370,0.230,0.001,0.37000,-99996.00000
"Sub Surface 7","New","Nonresidential","IndirectlyConditioned","Surface 46",20.19,302,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
"Sub Surface 29","New","Nonresidential","IndirectlyConditioned","Surface 51",34.68,32,"CurtainWall","NFRCRated","Window 05_Clerestory","- specify -","- specify -",0.370,0.230,0.001,0.37000,-99996.00000
"Sub Surface 32","New","Nonresidential","IndirectlyConditioned","Surface 51",14.72,32,"CurtainWall","NFRCRated","Window 05","- specify -","- specify -",0.570,0.390,0.430,0.57000,-99996.00000
